,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate_x,Deaths_y,Crude Rate_y
356,Males,Connecticut,45-49 yrs,1999.0,0,120900,0.0,0,0.0
357,Females,Connecticut,45-49 yrs,1999.0,0,125996,0.0,0,0.0
358,,Connecticut,45-49 yrs,1999.0,0,246896,0.0,11,4.46
359,Males,Connecticut,50-54 yrs,1999.0,0,107574,0.0,0,0.0
360,Females,Connecticut,50-54 yrs,1999.0,0,114850,0.0,0,0.0
361,,Connecticut,50-54 yrs,1999.0,0,222424,0.0,0,0.0
362,Males,Connecticut,55-59 yrs,1999.0,0,83021,0.0,0,0.0
363,Females,Connecticut,55-59 yrs,1999.0,0,88551,0.0,0,0.0
364,,Connecticut,55-59 yrs,1999.0,0,171572,0.0,0,0.0
365,Males,Connecticut,60-64 yrs,1999.0,0,62088,0.0,0,0.0
